name,address,website
Peter Luger,"178 Broadway, New York 11211",http://www.peterluger.com
Kanoyama,"175 Second Ave., New York 10003",http://www.kanoyama.com
Gotham Bar and Grill,"12 E. 12th St., New York 10003",http://www.gothambarandgrill.com
Babbo,"110 Waverly Pl., New York 10011",http://www.babbonyc.com
Café Boulud,"20 E. 76th St., New York 10021",http://www.cafeboulud.com
Casa Mono,"52 Irving Pl., New York 10003",http://www.casamononyc.com
Madcap,"198 Sir Francis Drake Blvd., San Anselmo 94960",http://www.madcapmarin.com
Nico,"710 Montgomery St., Bernal Heights 94110",http://www.nicosf.com
Birdsong,"1085 Mission St., San Francisco 94101",http://www.birdsongsf.com
Protégé,"250 California Ave., Palo Alto Orchards 94306",http://www.protogepaloalto.com
Bar Crenn,"3131 Fillmore St., Cow Hollow 94123",http://www.barcrenn.com
Sushi Yasuda,"204 E. 43rd St., New York 10017",http://www.sushiyasuda.com
Wallsé,"344 W. 11th St., New York 10014",http://www.kurtgutenbrunner.com
Blue Hill,"75 Washington Pl., New York 10011",http://www.bluehillfarm.com
Gramercy Tavern,"42 E. 20th St., New York 10003",http://www.gramercytavern.com
Jewel Bako,"239 E. 5th St., New York 10003",http://www.jewelbakosushi.com
Auberge du Soleil,"180 Rutherford Hill Rd., Rutherford 94573",http://www.aubergedusoleil.com
La Toque,"1314 McKinstry St., Rutherford 94573",http://www.latoque.com
Campton Place,"340 Stockton St., San Francisco 94108",http://www.camptonplacesf.com
Gary Danko,"800 North Point St., San Francisco 94109",http://www.garydanko.com
Bouchon,"6534 Washington St., Yountville 94599",http://www.thomaskeller.com
Farmhouse Inn & Restaurant,"7871 River Rd., Forestville 95436",http://www.farmhouseinn.com
Chez TJ,"938 Villa St., Mountain View 94041",http://www.cheztj.com
Plumed Horse,"14555 Big Basin Way, Saratoga 95070",http://www.plumedhorse.com
The Village Pub,"2967 Woodside Rd., Woodside 94062",http://www.thevillagepub.net
Del Posto,"85 Tenth Ave., New York 10011",http://www.delposto.com
Madrona Manor,"1001 Westside Rd., Healdsburg 95448",http://www.madronamanor.com
Kyo Ya,"94 E. 7th St., New York 10009",+12129824140
SPQR,"1911 Fillmore St., San Francisco 94115",http://www.spqrsf.com
Spruce,"3640 Sacramento St., San Francisco 94118",http://www.sprucesf.com
Luce,"888 Howard St., San Francisco 94103",http://www.lucewinerestaurant.com
Kajitsu,"125 E. 39th St., New York 10016",http://www.kajitsunyc.com
Aldea,"31 W. 17th St., New York 10011",http://www.aldearestaurant.com
Madera,"2825 Sand Hill Rd., Menlo Park 94025",http://www.maderasandhill.com
Boka,"1729 N. Halsted St., Chicago 60614",http://www.bokachicago.com
Schwa,"1466 N. Ashland Ave., Chicago 60662",http://www.schwarestaurant.com
Topolobampo,"445 N. Clark St., Chicago 60654",http://www.rickbayless.com
North Pond,"2610 N. Cannon Dr., Chicago 60614",http://www.northpondrestaurant.com
Everest,"440 S. LaSalle St., Chicago 60605",http://www.everestrestaurant.com
Blackbird,"619 W. Randolph St., Chicago 60661",http://www.blackbirdrestaurant.com
Sepia,"123 N. Jefferson St., Chicago 60661",http://www.sepiachicago.com
Spiaggia,"980 N. Michigan Ave., Chicago 60611",http://www.spiaggiarestaurant.com
Wakuriya,"115 De Anza Blvd., San Mateo 94402",http://www.wakuriya.com
Sons & Daughters,"708 Bush St., San Francisco 94108",http://www.sonsanddaughterssf.com
Michael Mina,"252 California St., San Francisco 94102",http://www.michaelmina.net
Commonwealth,"2224 Mission St., San Francisco 94110",http://www.commonwealthsf.com
Junoon,"27 W. 24th St., New York 10010",http://www.junoonnyc.com
Ai Fiori,"400 Fifth Ave., New York 10018",http://www.aifiorinyc.com
