name,address,website
Keiko à Nob Hill,"1250 Jones St., San Francisco 94109",http://www.keikoanobhill.com
State Bird Provisions,"1529 Fillmore St., San Francisco 94115",http://www.statebirdsf.com
Goosefoot,"2656 W. Lawrence Ave., Chicago 60625",http://www.goosefoot.net
NoMad,"1170 Broadway, New York 10001",http://www.thenomadhotel.com
Café China,"13 E. 37th St., New York 10016",http://www.cafechinanyc.com
Casa Enríque,"5-48 49th Ave., Long Island City 11101",http://www.henrinyc.com
EL Ideas,"2419 W. 14th St., Chicago 60618",http://www.elideas.com
Caviar Russe,"538 Madison Ave., New York 10022",http://www.caviarrusse.com
Carbone,"181 Thompson St., New York 10003",http://www.carbonenewyork.com
The Musket Room,"265 Elizabeth St., New York 10012",http://www.themusketroom.com
Uncle Boons,"7 Spring St., New York 10012",http://www.uncleboons.com
ZZ's Clam Bar,"169 Thompson St., New York 10012",http://www.zzsclambar.com
Siren by RW,"1515 Rhode Island Ave. NW, Washington 20005",http://www.sirenbyrw.com
Bresca,"1906 14th St. NW, Washington 20000",http://www.brescadc.com
Temporis,"933 N. Ashland Ave., Chicago",http://www.temporischicago.com
Jeju Noodle Bar,"679 Greenwich St., New York 10014",http://www.jejunoodlebar.com
Le Grill de Joël Robuchon,"85 Tenth Ave., New York",http://www.joelrobuchonusa.com
Okuda,"458 W. 17th St., New York",http://www.okuda.nyc
Bouley at Home,"31 W. 21st St., New York",http://www.davidbouley.com
Noda,"6 W. 28th St., New York",http://www.noda.nyc
Sushi Noz,"181 E 78th St., New York",http://www.sushinoz.com
Claro,"284 Third Ave., New York",http://www.clarobk.com
Atomix,"104 E. 30th St., New York",http://www.atomixnyc.com
Oxomoco,"128 Greenpoint Ave., Greenpoint 11222",http://www.oxomoconyc.com
Entente,"3056 N. Lincoln Ave., Chicago 60657",http://www.ententechicago.com
Elske,"1350 W. Randolph Ave., Chicago 60607",http://www.elskerestaurant.com
Kenzo,"1339 Pearl St., Napa 94559",http://www.kenzonapa.com
Kinjo,"2206 Polk St., San Francisco 94109",http://www.kinjosf.com
Satsuki,"114 W. 47th St., New York 10036",http://www.suzukinyc.com
Cote,"16 W. 22nd St., New York 10010",http://www.cotenyc.com
Bar Uchū,"217 Eldridge St., New York 10002",http://www.uchu.nyc
Sushi Amane,"245 E. 44th St., New York 10017",http://www.mifune-restaurant.com
Elizabeth,"4835 N. Western, Unit D, Chicago 60625",http://www.elizabeth-restaurant.com
Rich Table,"199 Gough St., San Francisco 94102",http://www.richtablesf.com
Sushi Nakazawa,"23 Commerce St., New York 10014",http://www.sushinakazawa.com
Contra,"138 Orchard St., New York 10002",http://www.contranyc.com
Hirohisa,"73 Thompson St., New York 10012",http://www.hirohisa-nyc.com
The River Café,"1 Water St., Brooklyn 11201",http://www.therivercafe.com
Bâtard,"239 West Broadway, New York 10013",http://www.batardtribeca.com
Meadowsweet,"149 Broadway, Brooklyn 11212",http://www.meadowsweetnyc.com
Kin Khao,"55 Cyril Magnin St., San Francisco 94102",http://www.kinkhao.com
Wako,"211 Clement St., San Francisco 94118",http://www.sushiwakosf.com
Dusek's (Board & Beer),"1227 W. 18th St., Chicago 60608",http://www.dusekschicago.com
Parachute,"3500 N. Elston Ave., Chicago 60618",http://www.parachuterestaurant.com
The Clocktower,"5 Madison Ave., New York 10010",http://www.theclocktowernyc.com
Tuome,"536 E. 5th St., New York 10009",http://www.tuomenyc.com
Faro,"436 Jefferson St., Brooklyn 11237",http://www.farobk.com
The Finch,"212 Greene Ave., Brooklyn 11238",http://www.thefinchnyc.com
