name,address,website
Tempura Matsui,"222 E. 39th St., New York 10158",http://www.tempuramatsui.com
Aster,"1001 Guerrero St., San Francisco 94110",http://www.astersf.com
The Progress,"1525 Fillmore St., San Francisco 94115",http://www.theprogress-sf.com
Lord Stanley,"2065 Polk St., San Francisco 94109",http://www.lordstanleysf.com
Sushi Yoshizumi,"325 E. 4th Ave., San Mateo 94401",http://www.sushiyoshizumi.com
Al's Place,"1499 Valencia St., San Francisco 94110",http://www.alsplacesf.com
Octavia,"1701 Octavia St., San Francisco 94109",http://www.octavia-sf.com
Omakase,"665 Townsend St., San Francisco 94103",http://www.omakasesf.com
Rasa,"209 Park Rd., Burlingame 94010",http://www.rasaindian.com
Mourad,"140 New Montgomery St., San Francisco 94105",http://www.mouradsf.com
Blue Duck Tavern,"1201 24th St. NW, Washington 20037",http://www.blueducktavern.com
Fiola,"601 Pennsylvania Ave. NW, Washington 20004",http://www.fioladc.com
Kinship,"1015 7th St. NW, Washington 20001",http://www.kinshipdc.com
Komi,"1509 17th St. NW, Washington 20036",http://www.komirestaurant.com
Masseria,"1340 4th St. NE, Washington 20002",http://www.masseria-dc.com
Plume,"1200 16th St. NW, Washington 20036",http://www.plumedc.com
Rose's Luxury,"717 8th St. SE, Washington 20003",http://www.rosesluxury.com
Sushi Taro,"1503 17th St. NW, Washington 20036",http://www.sushitaro.com
Tail Up Goat,"1827 Adams Mill Rd. NW, Washington 20009",http://www.tailupgoat.com
Métier,"1015 7th St. NW, Washington 20001",http://www.metierdc.com
The Dabney,"122 Blagden Alley NW, Washington 20001",http://www.thedabney.com
jū-ni,"1335 Fulton St., San Francisco 94117",http://www.junisf.com
Mister Jiu's,"28 Waverly Pl., San Francisco 94108",http://www.misterjius.com
Hashiri,"4 Mint Plaza, San Francisco 94103",http://www.hashirisf.com
In Situ,"151 Third St., San Francisco 94103",http://insitu.sfmoma.org
Band of Bohemia,"4710 N. Ravenswood Ave., Chicago 60640",http://www.bandofbohemia.com
Roister,"951 W. Fulton Market, Chicago 60607",http://www.roisterrestaurant.com
Nix,"72 University Pl., New York 10003",http://www.nixny.com
Agern,"89 E. 42nd St., New York 10017",http://www.agernrestaurant.com
L'Appart,"225 Liberty St., New York 10281",http://www.lappartnyc.com
Günter Seeger NY,"641 Hudson St., New York 10014",http://www.gunterseegerny.com
Kosaka,"220 W. 13th St., New York 10011",http://www.kosakanyc.com
Sushi Inoue,"381 Lenox Ave., New York 10027",http://www.sushiinoue.com
Le Coucou,"138 Lafayette St., New York 10013",http://www.lecoucou.com
