name,address,website,stars
Peter Luger,"178 Broadway, New York 11211",http://www.peterluger.com,1
Kanoyama,"175 Second Ave., New York 10003",http://www.kanoyama.com,1
Gotham Bar and Grill,"12 E. 12th St., New York 10003",http://www.gothambarandgrill.com,1
Babbo,"110 Waverly Pl., New York 10011",http://www.babbonyc.com,1
Café Boulud,"20 E. 76th St., New York 10021",http://www.cafeboulud.com,1
Casa Mono,"52 Irving Pl., New York 10003",http://www.casamononyc.com,1
Madcap,"198 Sir Francis Drake Blvd., San Anselmo 94960",http://www.madcapmarin.com,1
Nico,"710 Montgomery St., Bernal Heights 94110",http://www.nicosf.com,1
Birdsong,"1085 Mission St., San Francisco 94101",http://www.birdsongsf.com,1
Protégé,"250 California Ave., Palo Alto Orchards 94306",http://www.protogepaloalto.com,1
Bar Crenn,"3131 Fillmore St., Cow Hollow 94123",http://www.barcrenn.com,1
Sushi Yasuda,"204 E. 43rd St., New York 10017",http://www.sushiyasuda.com,1
Wallsé,"344 W. 11th St., New York 10014",http://www.kurtgutenbrunner.com,1
Blue Hill,"75 Washington Pl., New York 10011",http://www.bluehillfarm.com,1
Gramercy Tavern,"42 E. 20th St., New York 10003",http://www.gramercytavern.com,1
Jewel Bako,"239 E. 5th St., New York 10003",http://www.jewelbakosushi.com,1
Auberge du Soleil,"180 Rutherford Hill Rd., Rutherford 94573",http://www.aubergedusoleil.com,1
La Toque,"1314 McKinstry St., Rutherford 94573",http://www.latoque.com,1
Campton Place,"340 Stockton St., San Francisco 94108",http://www.camptonplacesf.com,1
Gary Danko,"800 North Point St., San Francisco 94109",http://www.garydanko.com,1
Bouchon,"6534 Washington St., Yountville 94599",http://www.thomaskeller.com,1
Farmhouse Inn & Restaurant,"7871 River Rd., Forestville 95436",http://www.farmhouseinn.com,1
Chez TJ,"938 Villa St., Mountain View 94041",http://www.cheztj.com,1
Plumed Horse,"14555 Big Basin Way, Saratoga 95070",http://www.plumedhorse.com,1
The Village Pub,"2967 Woodside Rd., Woodside 94062",http://www.thevillagepub.net,1
Del Posto,"85 Tenth Ave., New York 10011",http://www.delposto.com,1
Madrona Manor,"1001 Westside Rd., Healdsburg 95448",http://www.madronamanor.com,1
Kyo Ya,"94 E. 7th St., New York 10009",+12129824140,1
SPQR,"1911 Fillmore St., San Francisco 94115",http://www.spqrsf.com,1
Spruce,"3640 Sacramento St., San Francisco 94118",http://www.sprucesf.com,1
Luce,"888 Howard St., San Francisco 94103",http://www.lucewinerestaurant.com,1
Kajitsu,"125 E. 39th St., New York 10016",http://www.kajitsunyc.com,1
Aldea,"31 W. 17th St., New York 10011",http://www.aldearestaurant.com,1
Madera,"2825 Sand Hill Rd., Menlo Park 94025",http://www.maderasandhill.com,1
Boka,"1729 N. Halsted St., Chicago 60614",http://www.bokachicago.com,1
Schwa,"1466 N. Ashland Ave., Chicago 60662",http://www.schwarestaurant.com,1
Topolobampo,"445 N. Clark St., Chicago 60654",http://www.rickbayless.com,1
North Pond,"2610 N. Cannon Dr., Chicago 60614",http://www.northpondrestaurant.com,1
Everest,"440 S. LaSalle St., Chicago 60605",http://www.everestrestaurant.com,1
Blackbird,"619 W. Randolph St., Chicago 60661",http://www.blackbirdrestaurant.com,1
Sepia,"123 N. Jefferson St., Chicago 60661",http://www.sepiachicago.com,1
Spiaggia,"980 N. Michigan Ave., Chicago 60611",http://www.spiaggiarestaurant.com,1
Wakuriya,"115 De Anza Blvd., San Mateo 94402",http://www.wakuriya.com,1
Sons & Daughters,"708 Bush St., San Francisco 94108",http://www.sonsanddaughterssf.com,1
Michael Mina,"252 California St., San Francisco 94102",http://www.michaelmina.net,1
Commonwealth,"2224 Mission St., San Francisco 94110",http://www.commonwealthsf.com,1
Junoon,"27 W. 24th St., New York 10010",http://www.junoonnyc.com,1
Ai Fiori,"400 Fifth Ave., New York 10018",http://www.aifiorinyc.com,1
Keiko à Nob Hill,"1250 Jones St., San Francisco 94109",http://www.keikoanobhill.com,1
State Bird Provisions,"1529 Fillmore St., San Francisco 94115",http://www.statebirdsf.com,1
Goosefoot,"2656 W. Lawrence Ave., Chicago 60625",http://www.goosefoot.net,1
NoMad,"1170 Broadway, New York 10001",http://www.thenomadhotel.com,1
Café China,"13 E. 37th St., New York 10016",http://www.cafechinanyc.com,1
Casa Enríque,"5-48 49th Ave., Long Island City 11101",http://www.henrinyc.com,1
EL Ideas,"2419 W. 14th St., Chicago 60618",http://www.elideas.com,1
Caviar Russe,"538 Madison Ave., New York 10022",http://www.caviarrusse.com,1
Carbone,"181 Thompson St., New York 10003",http://www.carbonenewyork.com,1
The Musket Room,"265 Elizabeth St., New York 10012",http://www.themusketroom.com,1
Uncle Boons,"7 Spring St., New York 10012",http://www.uncleboons.com,1
ZZ's Clam Bar,"169 Thompson St., New York 10012",http://www.zzsclambar.com,1
Siren by RW,"1515 Rhode Island Ave. NW, Washington 20005",http://www.sirenbyrw.com,1
Bresca,"1906 14th St. NW, Washington 20000",http://www.brescadc.com,1
Temporis,"933 N. Ashland Ave., Chicago",http://www.temporischicago.com,1
Jeju Noodle Bar,"679 Greenwich St., New York 10014",http://www.jejunoodlebar.com,1
Le Grill de Joël Robuchon,"85 Tenth Ave., New York",http://www.joelrobuchonusa.com,1
Okuda,"458 W. 17th St., New York",http://www.okuda.nyc,1
Bouley at Home,"31 W. 21st St., New York",http://www.davidbouley.com,1
Noda,"6 W. 28th St., New York",http://www.noda.nyc,1
Sushi Noz,"181 E 78th St., New York",http://www.sushinoz.com,1
Claro,"284 Third Ave., New York",http://www.clarobk.com,1
Atomix,"104 E. 30th St., New York",http://www.atomixnyc.com,1
Oxomoco,"128 Greenpoint Ave., Greenpoint 11222",http://www.oxomoconyc.com,1
Entente,"3056 N. Lincoln Ave., Chicago 60657",http://www.ententechicago.com,1
Elske,"1350 W. Randolph Ave., Chicago 60607",http://www.elskerestaurant.com,1
Kenzo,"1339 Pearl St., Napa 94559",http://www.kenzonapa.com,1
